,,,,,,,,,,,,,,,,,,
M_PCE,M_VOC,M_JSC,M_FF,C_PCE,C_VOC,C_JSC,C_FF,HTL,R_Cs,R_FA,R_MA,R_Pb:A,R_I,R_Br,R_Cl,"Modified
materials",Type,"References’
DOI"
21.30,1.15,23.40,79.40,20.50,1.06,20.50,80.00,PTAA,0.05,0.874,0.076,1,2.764,0.236,0,PEA,B.M.,"10.1038/s41560
-019-0538-4"
20.80,1.20,22.51,77.00,20.50,1.06,20.50,80.00,PTAA,0.05,0.874,0.076,1,2.764,0.236,0,BA,B.M.,"10.1038/s41560
-019-0538-4"
23.00,1.17,24.10,81.60,20.50,1.06,20.50,80.00,PTAA,0.05,0.874,0.076,1,2.764,0.236,0,Oam,B.M.,"10.1038/s41560
-019-0538-4"
20.73,1.16,24.12,74.40,19.55,1.10,23.81,74.80,PTAA,0,0,1,0.941,3,0,0,PEAI,ETL_I.M.,"10.1002/solr.20
1900243"
19.30,1.01,23.10,82.70,16.60,1.00,21.40,77.30,Others,0,0,1,1.077,2.795,0,0.205,INIC-1F,ETL_I.M.,"10.1039/C7TA0
6923E"
18.80,1.01,22.80,81.50,16.60,1.00,21.40,77.30,Others,0,0,1,1.077,2.795,0,0.205,INIC-2F,ETL_I.M.,"10.1039/C7TA0
6923E"
21.00,1.12,22.70,82.80,18.30,1.08,22.00,77.20,PTAA,0,0,1,1,3,0,0,DAP,B.M.,"10.1126/sciadv.
aav8925"
21.50,1.16,23.40,79.40,17.00,1.06,23.40,68.40,PTAA,0.05,0.7,0.25,1,3,0,0,DAP,B.M.,"10.1126/sciadv.
aav8925"
22.31,1.21,22.59,81.63,20.09,1.12,22.66,79.15,PTAA,0.05,0.792,0.158,1.029,2.534,0.466,0,BDAI,HTL_I.M.,"10.1016/j.joule.
2020.04.001"
20.57,1.15,22.65,78.99,20.09,1.12,22.66,79.15,PTAA,0.05,0.792,0.158,1.029,2.534,0.466,0,GAI,HTL_I.M.,"10.1016/j.joule.
2020.04.001"
21.64,1.20,22.53,80.04,20.09,1.12,22.66,79.15,PTAA,0.05,0.792,0.158,1.029,2.534,0.466,0,PEAI,HTL_I.M.,"10.1016/j.joule.
2020.04.001"
18.35,1.12,21.35,76.74,15.59,1.06,20.79,70.74,NiOx,0,0,1,1,3,0,0,IT-4F,B.M.,"10.1039/C8TA0
0583D"
18.28,1.02,22.05,81.01,15.37,1.02,19.07,79.23,NiOx,0,0,1,1,3,0,0,F-PDI,B.M.,"10.1002/aenm.2
01900198"
19.26,1.07,22.74,79.90,17.62,1.06,21.24,78.25,NiOx,0.05,0.791,0.158,1.029,2.534,0.466,0,F-PDI,B.M.,"10.1002/aenm.2
01900198"
18.22,1.09,22.77,73.72,17.38,1.09,22.31,71.00,PTAA,0.05,0.808,0.143,1.035,2.557,0.443,0,PMMA,HTL_I.M.,"10.1039/C9EE0
0872A"
17.60,1.10,20.01,80.00,14.64,1.08,18.18,74.00,NiOx,0,0,1,1,3,0,0,C8,ETL_I.M.,"10.1021/acsener
gylett.6b00327"
16.99,1.05,20.67,78.98,14.00,1.01,19.11,72.73,NiOx,0,0,1,1,3,0,0,"PCBM:IT
IC",B.M.,"10.1039/C9TC0
2457C"
15.91,1.03,20.59,74.24,14.00,1.01,19.11,72.73,NiOx,0,0,1,1,3,0,0,ITIC,B.M.,"10.1039/C9TC0
2457C"
18.78,1.09,22.43,77.10,17.78,1.07,21.98,75.40,Others,0,0,1,1,3,0,0,IDIC-Th,B.M.,"10.1039/C9TA0
6439G"
20.01,1.12,22.67,79.10,17.78,1.07,21.98,75.40,Others,0,0,1,1,3,0,0,IDIS-Th,B.M.,"10.1039/C9TA0
6439G"
19.75,1.12,22.05,80.00,18.19,1.07,21.63,78.60,NiOx,0,0,1,1,3,0,0,"F6TCNN
Q",HTL_I.M.,"10.1002/adma.2
01800515"
20.86,1.12,23.18,80.30,19.69,1.09,22.70,79.60,NiOx,0.048,0.81,0.143,1.02,2.577,0.423,0,"F6TCNN
Q",HTL_I.M.,"10.1002/adma.2
01800515"
19.64,1.14,21.85,78.60,18.40,1.09,21.65,77.90,PTAA,0.05,0.792,0.158,1.03,2.534,0.466,0,PFN-P2,HTL_I.M.,"10.1038/s41560
-018-0219-8"
18.1,1.03,21.81,80.30,15.40,1.04,19.39,76.20,NiOx,0,0,1,1,3,0,0,1ab,HTL_I.M.,"10.1002/adfm.2
01808625"
17.7,1.04,21.92,77.40,15.40,1.04,19.39,76.20,NiOx,0,0,1,1,3,0,0,1bb,HTL_I.M.,"10.1002/adfm.2
01808625"
18.52,1.09,21.12,80.35,16.23,1.03,20.05,76.70,PTAA,0,0,1,1,3,0,0,APPA,B.M.,"10.1021/acsami.
9b15607"
20.69,1.12,22.88,81.00,18.74,1.06,22.23,79.00,PTAA,0,0,1,1,2.55,0.45,0,APPA,B.M.,"10.1021/acsami.
9b15607"
17.70,1.06,21.40,77.90,17.30,1.07,20.70,77.70,PTAA,0,0,1,1.03,3,0,0,NMP,B.M.,"10.1021/acsami.
9b15867"
18.40,1.07,23.10,74.20,17.28,1.07,20.79,77.65,PTAA,0.06,0.94,0,1.03,3,0,0,NMP,B.M.,"10.1021/acsami.
9b15867"
20.28,1.13,23.35,76.80,13.96,1.13,16.55,74.00,NiOx,0,0.3,0.7,1,2.8,0,0.2,DRCN5T,B.M.,"10.1002/solr.20
1800327"
20.09,1.11,23.58,76.70,18.87,1.08,22.73,77.20,PTAA,0,0,1,0.952,3,0,0,PS,HTL_I.M.,"10.1002/smll.20
1704007"
20.06,1.11,23.46,76.70,18.87,1.08,22.73,77.20,Others,0,0,1,0.952,3,0,0,PMMA,HTL_I.M.,"10.1002/smll.20
1704007"
20.32,1.12,23.46,77.50,18.87,1.08,22.73,77.20,PTAA,0,0,1,0.952,3,0,0,PMMA,HTL_I.M.,"10.1002/smll.20
1704007"
18.20,1.02,24.60,72.00,15.50,0.86,25.10,71.00,PTAA,0.049,0.951,0,1,3,0,0,PEAI,B.M.,"10.1021/acsaem
.8b01964"
20.05,1.09,23.07,79.41,17.34,1.05,21.93,75.21,PTAA,0,0,1,1,3,0,0,TTC,ETL_I.M.,"10.1007/s40820
-019-0282-0"
20.67,1.13,22.91,79.80,18.89,1.07,22.72,77.70,NiOx,0.048,0.81,0.143,1.02,2.577,0.423,0,PBTI,B.M.,"10.1002/adfm.2
01808855"
21.45,1.17,22.50,81.42,19.10,1.07,22.59,79.19,PTAA,0,0,1,1,2.8,0,0.2,DTA,B.M.,"10.1039/C9TA0
6718C"
20.41,1.09,22.35,83.63,17.53,1.07,21.18,77.50,Others,0,0,1,1,2.8,0,0.2,PDI-T,ETL_I.M.,"10.1039/C9TA0
7349C"
20.17,1.09,22.24,82.98,17.53,1.07,21.18,77.50,Others,0,0,1,1,2.8,0,0.2,PDI-V,ETL_I.M.,"10.1039/C9TA0
7349C"
20.65,1.10,23.09,81.40,13.24,0.91,19.57,74.10,NiOx,0,1,0,1,3,0,0,MACl,ETL_I.M.,"10.1039/C7EE0
1675A"
20.50,1.13,23.33,77.60,19.95,1.10,23.30,77.80,NiOx,0.057,0.802,0.141,0.981,2.571,0.429,0,PFN-P2,HTL_I.M.,"10.1039/C9CC0
4364K"
21.10,1.15,22.70,80.90,19.10,1.10,22.50,77.10,PTAA,0,0,1,1,3,0,0,TEOS,B.M.,"10.1021/acsener
gylett.9b00608"
21.50,1.15,23.10,81.10,19.10,1.10,22.50,77.10,PTAA,0,0.85,0.15,1,2.55,0.45,0,TEOS,B.M.,"10.1021/acsener
gylett.9b00608"
21.60,1.12,23.50,82.00,18.20,1.06,22.00,78.00,NiOx,0,0,1,1.3,3,0,0,DMAI,B.M.,"10.1002/adma.2
01903559"
17.76,1.05,21.57,74.98,15.11,1.04,18.24,76.35,NiOx,0,0,1,1,3,0,0,Urea,B.M.,"10.1002/aenm.2
01802323"
20.18,1.08,22.94,81.25,18.13,1.08,21.31,79.13,PTAA,0,0,1,1.08,3,0,0,Isatin-Cl,B.M.,"10.1002/solr.20
1900529"
20.15,1.09,23.11,80.00,19.93,1.09,23.14,79.00,PTAA,0,0.4,0.6,1,3,0,0,PbAc2,B.M.,"10.1002/adma.2
01604758"
21.01,1.13,23.02,80.90,17.98,1.08,21.71,76.90,PTAA,0.05,0.792,0.158,1.029,2.534,0.466,0,PPEAI,B.M.,"10.1039/C9TA0
3898A"
20.06,1.12,22.19,80.42,18.27,1.08,21.51,78.63,Others,0,0,1,1,3,0,0,Cl-FACl,B.M.,"10.1039/C9TA0
1319A"
20.89,1.15,23.01,79.10,17.70,1.08,21.32,76.80,NiOx,0,0,1,1.05,3,0,0,PPEA,ETL_I.M.,"10.1002/adfm.2
01808119"
19.51,1.12,22.03,78.90,17.70,1.08,21.32,76.80,NiOx,0,0,1,1.05,3,0,0,PPA,ETL_I.M.,"10.1002/adfm.2
01808119"
20.68,1.11,23.12,80.30,18.26,1.09,22.99,72.60,Others,0,0,1,1,3,0,0,E2CA,B.M.,"10.1016/j.nanoe
n.2019.02.009"
20.40,1.11,22.80,80.60,19.70,1.08,22.50,80.90,PTAA,0.05,0.792,0.158,1.03,2.534,0.466,0,PS,ETL_I.M.,"10.1039/C7EE0
0899F"
20.08,1.11,22.84,79.20,17.85,1.06,22.57,75.32,PTAA,0.077,0.769,0.154,1.077,2.561,0.439,0,NO3-C3N4,B.M.,"10.1002/solr.20
1900413"
18.28,1.08,22.37,75.68,17.85,1.06,22.57,75.32,PTAA,0.077,0.769,0.154,1.077,2.561,0.439,0,OH-C3N4,B.M.,"10.1002/solr.20
1900413"
18.58,1.07,22.37,75.68,17.85,1.06,22.57,75.32,PTAA,0.077,0.769,0.154,1.077,2.561,0.439,0,NH3-C3N4,B.M.,"10.1002/solr.20
1900413"
18.09,1.06,22.47,75.96,17.85,1.06,22.57,75.32,PTAA,0.077,0.769,0.154,1.077,2.561,0.439,0,SO3-C3N4,B.M.,"10.1002/solr.20
1900413"
20.10,1.16,21.70,80.00,18.50,1.06,21.70,81.00,PTAA,0,0,1,1,3,0,0,NMA,B.M.,"10.1002/adfm.2
01906763"
17.60,1.20,18.70,79.00,16.30,1.13,18.30,79.00,PTAA,0,0,1,1,2.4,0.6,0,NMA,B.M.,"10.1002/adfm.2
01906763"
19.10,1.18,20.10,81.00,17.70,1.12,20.10,79.00,PTAA,0,0,1,1,2.7,0.3,0,NMA,B.M.,"10.1002/adfm.2
01906763"
19.50,1.11,21.80,81.00,18.70,1.06,22.00,81.00,PTAA,0,0,1,1,3,0,0,PEAI,B.M.,"10.1002/adfm.2
01906763"
19.30,1.11,21.40,81.00,18.70,1.06,22.00,81.00,PTAA,0,0,1,1,3,0,0,PMAI,B.M.,"10.1002/adfm.2
01906763"
20.78,1.12,23.01,81.00,17.32,1.04,22.21,75.00,NiOx,0,0,1,1,3,0,0,PEO,B.M.,"10.1016/j.nanoe
n.2019.104229"
20.43,1.08,22.68,83.40,17.38,1.06,22.19,73.90,NiOx,0,0,1,1,3,0,0,PPDIN6,ETL_I.M.,"10.1016/j.nanoe
n.2018.07.063"
20.05,1.07,22.80,82.20,17.18,1.01,21.48,79.17,Others,0,0,1,1,3,0,0,PASP,HTL_I.M.,"10.1039/C9TA0
1947B"
20.15,1.12,22.94,78.19,16.26,1.06,21.06,72.84,NiOx,0,0,1,1,3,0,0,SDBS,HTL_I.M.,"10.1016/j.jpows
our.2019.22758"
20.15,1.09,23.45,79.14,16.26,1.06,21.06,72.84,NiOx,0,0.85,0.15,1,2.55,0.45,0,Ca(acac)2,ETL_I.M.,"10.1039/C9TC0
3259B"
18.23,1.04,23.02,75.95,14.53,1.02,21.49,66.29,NiOx,0,0,1,1,3,0,0,Ca(acac)2,ETL_I.M.,"10.1039/C9TC0
3259B"
20.73,1.12,23.20,80.00,17.42,1.06,21.78,76.00,PTAA,0,0,1,1,3,0,0,PEO,B.M.,"10.1021/acsaem
.0c00823"
20.31,1.09,24.27,76.55,16.54,1.05,22.98,68.32,NiOx,0,0,1,1,3,0,0,PEAI,HTL_I.M.,"10.1021/acsami.
9b18217"
19.10,1.07,23.21,77.00,17.40,1.05,22.38,74.00,PTAA,0,0,1,1,3,0,0,"DMBI-2-
Th",B.M.,"10.1002/adfm.2
02001788"
20.90,1.13,23.41,79.00,17.40,1.05,22.38,74.00,PTAA,0,0,1,1,3,0,0,"DMBI-2-
Th-I",B.M.,"10.1002/adfm.2
02001788"
20.80,1.09,23.53,80.85,20.08,1.06,23.56,80.62,PTAA,0,0,1,1,3,0,0,Cys. HCl,ETL_I.M.,"10.1021/acsener
gylett.0c01297"
19.61,1.11,23.19,76.00,16.97,1.11,22.50,67.80,Others,0,0,1,0.909,3,0,0,FPyBr,ETL_I.M.,"10.1039/C7TA0
4995A"
18.81,1.07,22.14,79.50,17.16,1.05,21.69,75.10,NiOx,0,0,1,1,3,0,0,YC-1,HTL_I.M.,"10.1002/pip.320
5"
19.83,1.13,22.50,77.72,17.91,1.06,21.87,77.34,Others,0,0.802,0.198,0.844,2.684,0.141,0.174,TMTA,"B.M.&ETL
_I.M.","10.1016/j.nanoe
n.2019.103962"
18.58,1.06,22.19,79.00,15.53,1.06,20.35,72.00,NiOx,0,0,1,1,3,0,0,"2,6-Py",ETL_I.M.,"10.1039/C7TA0
4851C"
18.90,1.04,23.16,78.00,16.92,1.04,21.37,74.60,PTAA,0,0,1,1,3,0,0,FAAc,B.M.,"10.1039/C8TC0
2507J"
18.18,1.10,21.57,76.70,16.92,1.04,21.37,74.60,NiOx,0,0,1,1,3,0,0,SY1,HTL_I.M.,"10.1021/acsami.
9b13952"
18.96,1.10,21.76,79.10,16.92,1.04,21.37,74.60,NiOx,0,0,1,1,3,0,0,SY2,HTL_I.M.,"10.1021/acsami.
9b13952"
18.44,1.10,21.71,77.10,16.92,1.04,21.37,74.60,NiOx,0,0,1,1,3,0,0,SY4,HTL_I.M.,"10.1021/acsami.
9b13952"
19.30,1.08,21.70,82.50,19.10,1.05,23.10,80.30,Others,0,0,1,1,3,0,0,TaTm,HTL_I.M.,"10.1021/acs.che
mmater.9b0139"
19.10,1.05,23.10,80.30,18.10,1.02,22.60,77.90,Others,0,0,1,1,3,0,0,DAGCl,B.M.,"10.1039/C9QM
00112C"
19.50,1.09,22.35,80.00,17.55,1.06,21.25,78.00,PTAA,0,0,1,1,3,0,0,CB,B.M.,"10.1039/C8NR
10125F"
17.59,1.04,22.53,75.80,14.46,1.02,20.20,70.20,NiOx,0,0,1,1,3,0,0,FDA,HTL_I.M.,"10.1039/C7NR
08750K"
19.42,1.16,22.30,75.20,16.49,1.03,21.70,73.80,PTAA,0,0,1,1,3,0,0,PS,ETL_I.M.,"10.1002/adma.2
01700159"
19.60,1.11,22.90,77.40,19.10,1.08,22.40,78.80,PTAA,0,0,1,1,3,0,0,PFN-Br,HTL_I.M.,"10.1002/adma.2
01901090"
20.05,1.08,23.23,79.93,16.66,1.03,22.09,73.22,Others,0.1,0.9,0,1,2.6,0.4,0,"2-
Acetylpyri",ETL_I.M.,"10.1039/C9TA0
7238A"
18.51,1.06,22.79,76.62,16.66,1.03,22.09,73.22,Others,0.1,0.9,0,1,2.6,0.4,0,"3-
Acetylpyri",ETL_I.M.,"10.1039/C9TA0
7238A"
18.11,1.05,22.62,76.24,16.66,1.03,22.09,73.22,Others,0.1,0.9,0,1,2.6,0.4,0,"4-
Acetylpyri",ETL_I.M.,"10.1039/C9TA0
7238A"
18.11,1.12,22.63,71.50,17.84,1.09,22.19,73.90,Others,0,0,1,1,3,0,0,BaAc2,B.M.,"10.1039/C9TC0
4067F"
18.81,1.06,22.78,77.90,16.88,1.05,21.37,75.95,PTAA,0,0,1,1,3,0,0,PbAc2,B.M.,"10.1002/solr.20
1800066"
18.00,1.06,22.20,77.00,16.80,1.04,21.22,68.75,NiOx,0.059,0.769,0.172,0.996,2.512,0.488,0,Mg(AcO)2,HTL_I.M.,"10.1002/aenm.2
01901642"
19.60,1.11,22.31,79.10,17.20,1.05,21.17,77.20,Others,0.15,0.85,0,1.05,2.855,0.145,0,MA,B.M.,"10.1021/acsami.
9b03323"
19.44,1.10,22.55,78.20,16.01,1.01,21.83,72.70,PTAA,0,0,1,1,3,0,0,NH4SCN,ETL_I.M.,"10.1002/adfm.2
01704836"
19.22,1.13,21.85,78.00,17.87,1.09,21.07,78.00,Others,0,0,1,1.05,3,0,0,5-AVA,HTL_I.M.,"10.1002/admi.2
01800645"
18.04,1.12,21.71,74.43,16.34,1.04,21.08,74.41,PTAA,0,0,1,1,3,0,0,TPPCl,B.M.,"10.1021/acsome
ga.8b01061"
18.61,1.08,22.50,76.60,15.89,1.01,20.74,75.80,PTAA,0,1,0,1,3,0,0,NH4SCN,ETL_I.M.,"10.1016/j.nanoe
n.2018.11.021"
18.13,1.09,21.69,76.70,15.78,1.04,20.39,74.40,PTAA,0,0,1,1,3,0,0,NH4SCN,ETL_I.M.,"10.1016/j.nanoe
n.2018.11.021"
18.54,1.03,22.27,79.00,16.93,1.04,21.41,76.00,Others,0,0,1,1,3,0,0,"ITCPTC-
Se",ETL_I.M.,"10.1039/C8TA0
0492G"
18.69,1.03,22.47,78.00,16.93,1.04,21.41,76.00,Others,0,0,1,1,3,0,0,"ITCPTC-
Th",ETL_I.M.,"10.1039/C8TA0
0492G"
18.13,1.08,22.38,75.00,15.98,1.04,21.34,72.00,NiOx,0,0,1,1,3,0,0,DBU,B.M.,"10.1039/C8CC0
2329H"
18.00,1.05,21.80,75.00,15.10,1.04,20.40,68.00,Others,0,0,1,1,3,0,0,"B4PyMP
M",ETL_I.M.,"10.1016/j.nanoe
n.2017.05.049"
18.80,1.06,22.40,76.00,15.10,1.04,20.40,68.00,Others,0,0,1,1,3,0,0,3TPYMB,ETL_I.M.,"10.1016/j.nanoe
n.2017.05.049"
19.51,1.08,22.14,82.00,16.93,1.05,21.07,77.00,Others,0,0,1,1,3,0,0,ITCPTC,ETL_I.M.,"10.1039/C8TA0
6730A"
18.89,1.07,21.78,81.00,16.93,1.05,21.07,77.00,Others,0,0,1,1,3,0,0,IDT6CN,ETL_I.M.,"10.1039/C8TA0
6730A"
17.54,1.05,21.36,78.00,16.93,1.05,21.07,77.00,Others,0,0,1,1,3,0,0,IDTCN,ETL_I.M.,"10.1039/C8TA0
6730A"
18.01,1.07,22.25,75.62,16.20,0.98,21.78,75.62,Others,0,0,1,0.909,3,0,0,PTPD,HTL_I.M.,"10.1002/aenm.2
01701659"
18.30,1.11,23.60,70.00,16.20,1.05,20.90,74.40,NiOx,0,0,1,1.05,3,0,0,Cys,HTL_I.M.,"10.1016/j.nanoe
n.2018.01.017"
19.30,1.15,21.50,78.00,17.70,1.10,21.30,76.80,Others,0.065,0.791,0.144,1.006,2.571,0.429,0,PVP,HTL_I.M.,"10.1002/solr.20
1800151"
19.01,1.10,22.57,76.50,17.02,1.06,23.40,68.40,Others,0,0.15,0.85,1,2.85,0.15,0,PVK,ETL_I.M.,"10.1016/j.electa
cta.2019.06.102"
18.30,1.10,21.80,77.30,16.20,1.05,20.90,74.40,Others,0,0,1,1,3,0,0,Al-acac3,B.M.,"10.1039/C6EE0
1969B"
17.32,1.19,18.69,78.21,15.72,1.16,17.69,76.56,PTAA,0.1,0.75,0.15,1,2,1,0,PMABr,B.M.,"10.1021/acs.jpc
c.1c09739"
16.80,1.17,18.10,79.00,15.72,1.16,17.69,76.56,PTAA,0.1,0.75,0.15,1,2,1,0,PEABr,B.M.,"10.1021/acs.jpc
c.1c09739"
22.25,1.15,23.36,82.90,19.38,1.09,23.24,76.40,NiOx,0.048,0.79,0.162,1.019,2.52,0.48,0,TPA-BA,HTL_I.M.,"10.1016/j.cej.20
22.136405"
21.35,1.11,23.74,81.02,18.27,1.10,21.28,78.05,NiOx,0.047,0.804,0.149,1.034,2.577,0.423,0,PATMBF4,B.M.,"10.1016/j.nanoe
n.2021.105742"
19.86,1.10,22.63,79.77,18.16,1.09,21.77,76.52,NiOx,0.048,0.81,0.143,1.027,2.579,0.421,0,Bu,B.M.,"10.1039/D0EE0
2043E"
20.94,1.11,23.37,80.73,18.16,1.09,21.77,76.52,NiOx,0.048,0.81,0.143,1.027,2.579,0.421,0,Ea,B.M.,"10.1039/D0EE0
2043E"
21.47,1.10,23.48,83.12,18.16,1.09,21.77,76.52,NiOx,0.048,0.81,0.143,1.027,2.579,0.421,0,PEa,B.M.,"10.1039/D0EE0
2043E"
16.70,1.02,20.80,78.30,13.20,0.94,19.70,71.20,NiOx,0,0.85,0.15,1,2.55,0.45,0,PTAA,HTL_I.M.,"10.1021/acssusc
hemeng.8b0407"
21.01,1.11,23.74,79.75,18.17,1.07,21.95,77.37,NiOx,0.175,0.751,0.074,1.001,2.625,0.375,0,HEA,B.M.,"10.1016/j.nanoe
n.2020.104639"
20.15,1.08,22.68,81.96,17.53,1.02,22.19,77.67,Others,0,0,1,1,3,0,0,glucose,B.M.,"10.1039/D0TC0
0365D"
19.39,1.13,21.41,80.20,16.10,1.09,19.31,76.50,NiOx,0,0,1,1.024,3,0,0,TFTPA,ETL_I.M.,"10.1021/acsami.
9b12961"
21.30,1.15,22.70,81.40,21.00,1.11,23.30,80.70,NiOx,0,0.85,0.15,1,2.55,0.45,0,"CF3-
PEABr",ETL_I.M.,"10.34133/2021/
9836752"
20.45,1.14,22.35,80.25,18.08,1.05,22.04,78.12,PTAA,0,0,1,1.077,2.795,0,0.205,BTCC,B.M.,"10.1039/D0CC
02613A"
19.84,1.13,22.50,77.72,17.90,1.06,21.87,77.34,NiOx,0.048,0.79,0.162,1.009,2.517,0.483,0,KBF4,HTL_I.M.,"10.1021/acs.jpc
c.2c00283"
19.23,1.13,21.16,80.00,16.86,1.08,19.82,78.00,NiOx,0,0,1,1,3,0,0,PEI•HI,HTL_I.M.,"10.1016/j.apsus
c.2021.149276"
19.80,1.10,22.70,79.30,17.80,1.07,21.80,75.70,NiOx,0,0,1,1,3,0,0,BZACl,B.M.,"10.1039/d0qm0
0983k"
